source_id,ra,dec,g,bp_rp
3496424406277762432,189.7059445483825,-26.578295519688496,16.389908,0.77363014
3496374584654895744,189.87676395778448,-26.73461989569074,19.036179,0.5249901
3496423783504456192,189.810924392886,-26.59909906403438,18.673962,0.9934597
3496370530207629952,189.93268005683817,-26.792262591054502,19.653233,0.6219826
3496371629717877760,189.89630353153785,-26.7473259836755,19.653759,
3496371561000001536,189.8942621247154,-26.754757678577878,19.311615,0.61138344
3496371217399841280,189.88738850748675,-26.78228467799566,15.871858,0.17197418
3496374584656906624,189.8710091049455,-26.739512782506804,15.376517,0.8604889
3496372797950329728,189.81241554091383,-26.802513450552524,18.902601,0.7156601
3496371423558271872,189.8774584137813,-26.7795001924705,18.659254,0.7148266
3496371732797421440,189.9170468479665,-26.751363347011775,19.9359,0.5614815
3496371560997808768,189.90278924756606,-26.75046945573444,19.056637,0.7178745
3496371560998401408,189.9018188549819,-26.74898212738245,19.060913,0.5182762
3496374722095932544,189.83083565627086,-26.73718950626473,19.527601,0.78798866
3496372828013444736,189.78633938183603,-26.79605070928155,18.357452,0.56059647
3496374619014524800,189.85448535206243,-26.73693460966878,19.674654,
3496369877372569472,189.85171360359828,-26.811073217054204,19.472279,0.48529053
3496374550297103616,189.8645093822625,-26.744168572311903,19.152412,
3496374550297081472,189.85953558491917,-26.746636144190393,19.712729,
3496398941414850176,189.90714492758406,-26.652080492822456,19.66648,0.73778725
3496374515936344576,189.84886605260908,-26.748856513027818,19.604765,
3496374584656906368,189.87127272672734,-26.739923039768556,18.884092,
3496374825173544960,189.84322549738854,-26.734175257809643,19.126925,0.5696926
3496375031331720448,189.8763027657823,-26.71626311774755,19.748861,0.57258224
3496374722095932416,189.82813945600452,-26.736155740401724,19.23538,0.7492771
3496375031331739776,189.88736045645194,-26.714614903689135,19.105236,0.6534157
3496371453624565632,189.85398150629345,-26.767525119772507,14.999496,1.1115122
3496374752159254272,189.81843191259966,-26.733137548609665,18.466497,0.6722965
3496400526259605632,189.9102921977962,-26.581879506026052,14.576944,0.89012337
3496371595359740544,189.87957956227694,-26.750827286297802,18.419886,
3496447045047336704,189.82576671615786,-26.5911724474666,19.245987,2.382618
3496371625423289216,189.88207183126926,-26.742511323700924,16.911518,0.88903046
3496374584654896256,189.87826254885047,-26.736582449465068,19.654325,
3496376367065467904,189.82674545645915,-26.65158335312548,19.425745,0.68455887
3496374550297246848,189.86179701118346,-26.74013520421628,17.315052,
3496374447215425280,189.86220184407526,-26.755307842654506,19.392754,
3496371732797419776,189.92050443246706,-26.757154826446897,19.907902,1.3692112
3496374893892674560,189.83568431662817,-26.71863085598738,19.728477,0.70218086
3496374584656907136,189.87411408761733,-26.740433291288216,18.272276,
