SourceId,ra,dec,G
   3496370358408908800, 189.90248, -26.81973,  16.834
   3496374515935888512, 189.84172, -26.74392,  19.428
   3496375237490182784, 189.85700, -26.70249,  19.191
   3496371595358126336, 189.87397, -26.75284,  18.861
   3496372037741705344, 189.90966, -26.72841,  19.687
   3496374580360781056, 189.87392, -26.72969,  13.720
   3496374412858068224, 189.84148, -26.76622,  19.272
   3496372931095848192, 189.83374, -26.78140,  18.244
   3496369946092048512, 189.83441, -26.80144,  19.786
   3496372007674638464, 189.89572, -26.73571,  19.128
   3496371354838891904, 189.90684, -26.77324,  19.577
   3496371457918002048, 189.85221, -26.77536,  19.259
   3496422924510948352, 189.77625, -26.66048,  19.727
   3496358431283012864, 189.97444, -26.82623,  19.149
   3496369705573880192, 189.86541, -26.80947,  19.231
   3496374825173185536, 189.84136, -26.72118,  19.454
   3496370942524942720, 189.94751, -26.76592,  19.910
   3496374584654814848, 189.87989, -26.74311,  19.466
   3496374412855516160, 189.83517, -26.76702,  19.749
   3496395715896319104, 189.97459, -26.68722,  18.768
   3496369946092051968, 189.83328, -26.79681,  19.140
   3496371423558277760, 189.86971, -26.77624,  18.810
   3496374722093801600, 189.83564, -26.72991,  19.269
   3496371595357393664, 189.87563, -26.75071,  16.474
   3496357645305704832, 190.04003, -26.87230,  18.831
   3496369254600537472, 189.76383, -26.85902,  18.521
   3496374550297247104, 189.86181, -26.74072,  16.430
   3496371664079448320, 189.93701, -26.76384,  19.737
   3496371595357393792, 189.87738, -26.75118,  16.849
   3496374649080250240, 189.86751, -26.71886,  17.886
   3496373210264659584, 189.80883, -26.76344,  19.596
   3496371664079222912, 189.93421, -26.76209,  18.759
   3496374584654814208, 189.88059, -26.74186,  19.148
   3496375924686877312, 189.79667, -26.68243,  15.909
   3496374687733511936, 189.81867, -26.74989,  18.412
   3496374722093802240, 189.83300, -26.72909,  18.824
   3496374825173120256, 189.84947, -26.72777,  18.819
   3496376130845325952, 189.84161, -26.67211,  19.788
   3496375237492102784, 189.85843, -26.70689,  16.559
   3496371595357393152, 189.87831, -26.75139,  18.689
   3496422894449365120, 189.75208, -26.66700,  19.940
   3496375237492102656, 189.86791, -26.70958,  15.761
   3496372037742725760, 189.91297, -26.73132,  19.757
   3496371732798925568, 189.92806, -26.75935,  19.936
   3496376126547278976, 189.83341, -26.67323,  18.657
