source_id,ra,dec,g,bp_rp
3496374584654787584,189.8768605913785,-26.74264013155237,17.685825,0.71027374
3496371251759575424,189.91002646277528,-26.789127555900865,18.410055,0.76252365
3496369838716188416,189.8209466966385,-26.80528307538343,19.016820000000003,0.6993904000000001
3496374889598209920,189.83404421834342,-26.713246762935103,18.096056,0.8267211999999999
3496372037739923968,189.91255356322742,-26.726625257942572,19.282754999999998,0.6995392
3496369288960285952,189.78240175796532,-26.852131621607732,19.604286,0.6760235
3496374825173547008,189.84289806090814,-26.732944957930908,19.011354,0.6989269
3496374653374490112,189.8559964980196,-26.72551140156668,19.49267,0.6091880999999999
3496371492280309632,189.85933787177441,-26.769199070294174,16.58088,0.99460316
3496371561000004224,189.90791842221927,-26.756759459365558,17.95637,0.91038895
3496372110755921280,189.9354045759064,-26.71693456938933,18.724548000000002,0.82992744
3496371457918014464,189.8531768798497,-26.772147132742425,19.151022,0.69124603
3496375404994169344,189.8938182698864,-26.67357288773555,19.744423,0.6997013000000001
3496374584654788096,189.87562163932787,-26.74317244993709,18.4889,0.71749306
3496370255327171712,189.95356883195797,-26.79871935188191,19.860947,0.50175476
3496371595357369344,189.87396107488658,-26.748867366139656,18.10418,0.7205963000000001
3496374928252507648,189.84028523158162,-26.70661486789295,19.450953,0.68740654
3496370358408908288,189.8910066112795,-26.817690477605204,18.664783,0.6217575
3496374619016733440,189.8612332086729,-26.73274278216508,18.383059,0.74651337
3496374722093742336,189.83730592806114,-26.732943827644462,19.63172,
3496423714784976768,189.77039037455398,-26.6009036436757,19.569937,0.8443241
3496372003382985728,189.90557191948952,-26.73778301210543,18.90506,0.67990494
3496374619016750848,189.85334373685646,-26.738753559257766,16.838596,0.64305115
3496371526637650944,189.8909617549805,-26.764694874586755,19.170265,0.7135658
3496374653374491520,189.85956981696282,-26.725883002458747,19.204731,0.66251755
3496370495845340928,189.9207617956939,-26.78990461519486,18.65511,0.70355797
3496374962612246784,189.88518811025656,-26.718246244773198,19.221462,0.50166893
3496374893894706304,189.83615910704867,-26.71257703963749,17.470798000000002,0.9606056000000001
3496370083530992000,189.9148001682423,-26.842369796691152,16.331842,0.011772156
3496371629717290240,189.8953792728933,-26.74826753986614,18.291708,0.80503273
3496374584656909696,189.8722471419142,-26.740947541322146,15.647046,1.0216618
3496374825173548288,189.84440637004158,-26.731543838986173,18.758703,0.51457214
3496368880940157440,189.88844036951602,-26.819811379395524,19.557482,0.72237396
3496369873077956480,189.8493067587355,-26.80984930639894,19.450294,0.68377304
3496369946092047104,189.8341467943454,-26.804431384669762,16.521137,0.9967889999999999
3496362146428798592,189.7785953835342,-26.93973052901273,19.656001999999997,0.8150768
3496374825173548160,189.84413808171848,-26.73138242903569,19.036348,
3496374584654948736,189.8770234735617,-26.733011737302288,18.923057999999997,
3496375233197197056,189.8657757038456,-26.694158438373822,18.838322,0.67014694
3496369671214140288,189.85541108098647,-26.8097373059808,19.522593,0.65859413
3496370942524942208,189.95173896516567,-26.76975387920853,19.869862,0.5361004
3496427253838028160,189.65636504911026,-26.59875807966163,18.791926999999998,0.6696377
3496371595357128320,189.87103936682234,-26.75937329228098,19.163183,
3496375061396902656,189.89178260931973,-26.70846841286913,16.311852,0.9975252
3496374511641276032,189.84671971426332,-26.74354780049945,14.065821,1.2266026
3496374825173548032,189.84520179393863,-26.731917296038407,19.385168,0.5412979
3496370628992621824,189.9660775583709,-26.79383942636509,19.230010999999998,0.5571728
3496376126547275776,189.83049228315858,-26.67788854176236,19.27265,0.6549854
3496374825173183872,189.849415129594,-26.723567588830534,18.933706,
3496396261355266432,190.0191143376959,-26.6422071905184,18.060865,0.9142494000000001
3496371595357128192,189.8788752962128,-26.761458668958923,18.222113,0.7987957
3496371148682904320,189.89751020252115,-26.79917330876195,18.382475,0.7677269
3496375095758418944,189.91007880382648,-26.70827797573146,17.901539,0.8660507
3496371732798699008,189.91867312185462,-26.75817113043844,18.398481,0.7932471999999999
3496371492277752192,189.86587700343185,-26.775824140787787,19.729525,0.6182460999999999
3496374859533032064,189.8604723583783,-26.71169851697688,19.317482000000002,0.56160545
3496374825173183616,189.8496771368008,-26.723189868788854,18.965603,0.87007904
3496375061396902528,189.88434103234482,-26.707076957810454,19.271252,0.57266235
3496446976327856640,189.83625303650314,-26.596663805996943,19.01108,0.67651176
3496374550297068672,189.8720681072239,-26.745530572181195,18.723232,
3496369946092049920,189.82695635109417,-26.797628687762817,19.226511,0.6282501
3496382895416933376,190.12457774779347,-26.72143445483049,18.424307000000002,0.7548484999999999
3496375027037164928,189.87641093092083,-26.70443035401934,19.187716,0.62057495
3496371487984316544,189.8645620799396,-26.75998576242716,15.661251000000002,0.5414047
3496370152250479872,189.9462728346302,-26.829848922655355,19.966038,0.6138096
3496375027037164544,189.8809813422448,-26.708800810705018,17.668503,0.8909035
3496372797950333824,189.8176469071764,-26.796335080638823,13.418526000000002,1.3202839
3496374992679134464,189.8931136604491,-26.715562386352364,17.978949,0.7882766999999999
3496375061396903040,189.88786709438517,-26.704197411734963,19.25731,0.6146469
3496371316188165376,189.8998978965754,-26.775330329491748,19.294245,0.62290955
3496374515935887488,189.8407560475972,-26.74435474854705,19.209976,0.57728577
3496374447215479040,189.8574877138139,-26.75235700054763,18.748692000000002,0.65394974
3496395849038370432,190.02240665659104,-26.678963672018398,18.940165,2.0001411
3496371457918003200,189.8595211164286,-26.776781734502748,19.484657000000002,0.6286354000000001
3496372797950333568,189.81892695838286,-26.796934706271585,16.737144,0.98436356
3496425570210830080,189.63841932713524,-26.62400568551404,19.191587,0.6057644
