#NUMBER OF AGES= 1 MAGS= 3
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.2491E-04 4.2491E-04  -1.60   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Gaia DR2 Revised (Vega)
#----------------------------------------------------       
#AGE=11.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo  Gaia_G Gaia_BP Gaia_RP
 249  0.835433  3.6799  1.6701  2.3630 -1.0927 -0.6225 -1.7182
 250  0.835468  3.6778  1.6197  2.4047 -1.1905 -0.7136 -1.8214
 251  0.835500  3.6756  1.5702  2.4454 -1.2861 -0.8024 -1.9225
 252  0.835528  3.6735  1.5222  2.4850 -1.3785 -0.8879 -2.0201
 253  0.835554  3.6713  1.4747  2.5236 -1.4681 -0.9703 -2.1153
 254  0.835578  3.6691  1.4286  2.5611 -1.5545 -1.0495 -2.2073
 255  0.835601  3.6669  1.3833  2.5976 -1.6387 -1.1264 -2.2971
 256  0.835621  3.6647  1.3385  2.6336 -1.7212 -1.2013 -2.3853
 257  0.835640  3.6625  1.2949  2.6686 -1.8011 -1.2736 -2.4709
 258  0.835657  3.6603  1.2516  2.7031 -1.8796 -1.3445 -2.5552
 259  0.835673  3.6582  1.2098  2.7365 -1.9550 -1.4120 -2.6363
 260  0.835687  3.6560  1.1680  2.7695 -2.0295 -1.4786 -2.7166
 261  0.835701  3.6539  1.1272  2.8018 -2.1019 -1.5431 -2.7947
 262  0.835714  3.6518  1.0871  2.8335 -2.1725 -1.6056 -2.8710
 263  0.835726  3.6497  1.0480  2.8642 -2.2406 -1.6657 -2.9449
 264  0.835737  3.6476  1.0093  2.8945 -2.3073 -1.7241 -3.0173
 265  0.835748  3.6454  0.9707  2.9243 -2.3722 -1.7806 -3.0882
 266  0.835757  3.6432  0.9332  2.9533 -2.4351 -1.8350 -3.1569
 267  0.835766  3.6411  0.8964  2.9817 -2.4963 -1.8877 -3.2240
 268  0.835775  3.6390  0.8601  3.0095 -2.5561 -1.9390 -3.2896
 269  0.835783  3.6370  0.8245  3.0369 -2.6146 -1.9888 -3.3539
 270  0.835790  3.6349  0.7895  3.0637 -2.6716 -2.0371 -3.4166
 271  0.835797  3.6330  0.7555  3.0900 -2.7272 -2.0844 -3.4779
 272  0.835804  3.6310  0.7219  3.1158 -2.7818 -2.1304 -3.5380
 273  0.835810  3.6291  0.6892  3.1410 -2.8350 -2.1752 -3.5966
 274  0.835816  3.6274  0.6573  3.1656 -2.8868 -2.2188 -3.6536
 275  0.835821  3.6256  0.6263  3.1896 -2.9373 -2.2613 -3.7092
 276  0.835827  3.6239  0.5960  3.2131 -2.9870 -2.3032 -3.7638
 277  0.835832  3.6223  0.5665  3.2360 -3.0348 -2.3434 -3.8166
 278  0.835837  3.6207  0.5383  3.2580 -3.0811 -2.3823 -3.8674
 279  0.835837  3.6194  0.5148  3.2764 -3.1196 -2.4144 -3.9099
