# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 13 18:34:22 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gaia_G    Gaia_BP  Gaia_RP
0.00039019 -1.60000 10.04139 0.8200222850 2.4255306721    0.818  0.819  3.7441  3.460    2  0.000  0.536     0.00     0.00 -1  -1.7e-12      0.00 7.695e-01 2.302e-01 6.948e-05 1.900e-05 1.727e-04 -1.000 3.459e-04 2.722 2.687 3.009 2.188
0.00039019 -1.60000 10.04139 0.8202074170 2.4255917072    0.818  0.834  3.7431  3.441    2  0.000  0.537     0.00     0.00 -1 -1.79e-12      0.00 7.686e-01 2.311e-01 6.968e-05 1.905e-05 1.732e-04 -1.000 3.546e-04 2.685 2.650 2.974 2.149
0.00039019 -1.60000 10.04139 0.8207041621 2.4257557392    0.819  0.876  3.7407  3.390    3  0.000  0.537     0.00     0.00 -1 -2.08e-12      0.00 7.662e-01 2.334e-01 7.016e-05 1.918e-05 1.743e-04 -1.000 4.107e-04 2.581 2.548 2.877 2.042
0.00039019 -1.60000 10.04139 0.8212475181 2.4259347916    0.819  0.924  3.7383  3.332    3  0.000  0.537     0.00     0.00 -1 -2.49e-12      0.00 7.638e-01 2.358e-01 7.059e-05 1.929e-05 1.753e-04 -1.000 3.978e-04 2.459 2.428 2.761 1.917
0.00039019 -1.60000 10.04139 0.8217087388 2.4260864258    0.820  0.970  3.7365  3.280    3  0.000  0.537     0.00     0.00 -1 -2.93e-12      0.00 7.620e-01 2.376e-01 7.088e-05 1.937e-05 1.760e-04 -1.000 3.975e-04 2.346 2.317 2.654 1.803
0.00039019 -1.60000 10.04139 0.8221494555 2.4262313843    0.820  1.016  3.7348  3.227    3  0.000  0.537     0.00     0.00 -1 -3.47e-12      0.00 7.602e-01 2.393e-01 7.111e-05 1.944e-05 1.766e-04 -1.000 4.188e-04 2.231 2.203 2.544 1.686
0.00039019 -1.60000 10.04139 0.8225971460 2.4263782501    0.820  1.066  3.7331  3.170    3  0.000  0.537     0.00     0.00 -1 -4.15e-12      0.00 7.584e-01 2.411e-01 7.129e-05 1.951e-05 1.772e-04 -1.000 4.067e-04 2.105 2.079 2.423 1.559
0.00039019 -1.60000 10.04139 0.8230084777 2.4265131950    0.821  1.116  3.7315  3.114    3  0.000  0.536     0.00     0.00 -1 -4.97e-12      0.00 7.568e-01 2.428e-01 7.137e-05 1.957e-05 1.776e-04 -1.000 3.976e-04 1.980 1.955 2.302 1.432
0.00039019 -1.60000 10.04139 0.8233777881 2.4266340733    0.821  1.164  3.7300  3.060    3  0.000  0.535     0.00     0.00 -1 -5.91e-12      0.00 7.553e-01 2.443e-01 7.134e-05 1.967e-05 1.779e-04 -1.000 3.902e-04 1.859 1.836 2.185 1.310
0.00039019 -1.60000 10.04139 0.8237006664 2.4267396927    0.821  1.210  3.7286  3.008    3  0.000  0.533     0.00     0.00 -1 -6.97e-12      0.00 7.539e-01 2.457e-01 7.121e-05 1.980e-05 1.781e-04 -1.000 3.949e-04 1.744 1.723 2.075 1.194
0.00039019 -1.60000 10.04139 0.8240151405 2.4268424511    0.821  1.259  3.7271  2.954    3  0.000  0.531     0.00     0.00 -1 -8.31e-12      0.00 7.527e-01 2.469e-01 7.096e-05 2.003e-05 1.784e-04 -1.000 4.176e-04 1.622 1.602 1.958 1.071
0.00039019 -1.60000 10.04139 0.8243168592 2.4269411564    0.821  1.310  3.7254  2.896    3  0.000  0.528     0.00     0.00 -1 -9.98e-12      0.00 7.516e-01 2.480e-01 7.062e-05 2.035e-05 1.785e-04 -1.000 4.047e-04 1.495 1.476 1.835 0.942
0.00039019 -1.60000 10.04139 0.8245698214 2.4270236492    0.822  1.357  3.7239  2.844    3  0.000  0.525     0.00     0.00 -1 -1.18e-11      0.00 7.507e-01 2.489e-01 7.028e-05 2.070e-05 1.786e-04 -1.000 3.932e-04 1.378 1.361 1.723 0.824
0.00039019 -1.60000 10.04139 0.8248004913 2.4270987511    0.822  1.403  3.7224  2.791    3  0.000  0.523     0.00     0.00 -1 -1.39e-11      0.00 7.500e-01 2.496e-01 6.994e-05 2.106e-05 1.787e-04 -1.000 4.164e-04 1.263 1.248 1.613 0.708
0.00039019 -1.60000 10.04139 0.8250174522 2.4271695614    0.822  1.450  3.7208  2.738    3  0.000  0.520     0.00     0.00 -1 -1.65e-11      0.00 7.494e-01 2.501e-01 6.964e-05 2.139e-05 1.788e-04 -1.000 4.082e-04 1.144 1.131 1.500 0.588
0.00039019 -1.60000 10.04139 0.8252092600 2.4272320271    0.822  1.496  3.7192  2.686    3  0.000  0.518     0.00     0.00 -1 -1.95e-11      0.00 7.491e-01 2.505e-01 6.942e-05 2.164e-05 1.789e-04 -1.000 4.027e-04 1.030 1.019 1.391 0.473
0.00039019 -1.60000 10.04139 0.8253916502 2.4272913933    0.822  1.543  3.7175  2.632    3  0.000  0.517     0.00     0.00 -1 -2.32e-11      0.00 7.488e-01 2.508e-01 6.925e-05 2.184e-05 1.789e-04 -1.000 4.109e-04 0.912 0.903 1.279 0.354
0.00039019 -1.60000 10.04139 0.8255524635 2.4273436069    0.822  1.589  3.7158  2.579    3  0.000  0.516     0.00     0.00 -1 -2.73e-11      0.00 7.486e-01 2.510e-01 6.915e-05 2.196e-05 1.790e-04 -1.000 4.188e-04 0.798 0.792 1.171 0.239
0.00039019 -1.60000 10.04139 0.8256955147 2.4273903370    0.822  1.633  3.7141  2.529    3  0.000  0.516     0.00     0.00 -1  -3.2e-11      0.00 7.485e-01 2.511e-01 6.909e-05 2.203e-05 1.790e-04 -1.000 4.188e-04 0.688 0.684 1.067 0.128
0.00039019 -1.60000 10.04139 0.8258318305 2.4274346828    0.822  1.678  3.7124  2.476    3  0.000  0.516     0.00     0.00 -1 -3.78e-11      0.00 7.485e-01 2.511e-01 6.907e-05 2.206e-05 1.790e-04 -1.000 4.188e-04 0.574 0.572 0.959 0.013
0.00039019 -1.60000 10.04139 0.8259552717 2.4274747372    0.822  1.723  3.7106  2.424    3  0.000  0.516     0.00     0.00 -1 -4.46e-11      0.00 7.484e-01 2.511e-01 6.907e-05 2.207e-05 1.790e-04 -1.000 4.188e-04 0.462 0.461 0.852 -0.102
0.00039019 -1.60000 10.04139 0.8260639310 2.4275100231    0.821  1.766  3.7089  2.374    3  0.000  0.515     0.00     0.00 -1 -5.21e-11      0.00 7.484e-01 2.511e-01 6.906e-05 2.207e-05 1.790e-04 -1.000 4.188e-04 0.354 0.356 0.751 -0.211
0.00039019 -1.60000 10.04139 0.8261637092 2.4275424480    0.821  1.809  3.7071  2.324    3  0.000  0.515     0.00     0.00 -1 -6.09e-11      0.00 7.484e-01 2.512e-01 6.906e-05 2.208e-05 1.790e-04 -1.000 4.189e-04 0.248 0.252 0.651 -0.319
0.00039019 -1.60000 10.04139 0.8262603283 2.4275736809    0.821  1.853  3.7053  2.272    3  0.000  0.515     0.00     0.00 -1 -7.16e-11      0.00 7.484e-01 2.512e-01 6.905e-05 2.208e-05 1.790e-04 -1.000 4.188e-04 0.136 0.143 0.547 -0.431
0.00039019 -1.60000 10.04139 0.8263449073 2.4276013374    0.821  1.896  3.7035  2.223    3  0.000  0.515     0.00     0.00 -1 -8.36e-11      0.00 7.484e-01 2.512e-01 6.905e-05 2.209e-05 1.790e-04 -1.000 4.188e-04 0.031 0.041 0.449 -0.538
0.00039019 -1.60000 10.04139 0.8264226317 2.4276263714    0.821  1.937  3.7017  2.174    3  0.000  0.515     0.00     0.00 -1 -9.73e-11      0.00 7.484e-01 2.512e-01 6.905e-05 2.209e-05 1.790e-04 -1.000 4.188e-04 -0.073 -0.061 0.353 -0.643
0.00039019 -1.60000 10.04139 0.8264963031 2.4276504517    0.820  1.979  3.6998  2.124    3  0.000  0.515     0.00     0.00 -1 -1.13e-10      0.00 7.484e-01 2.512e-01 6.904e-05 2.210e-05 1.790e-04 -1.000 4.188e-04 -0.178 -0.163 0.255 -0.750
