source_id,ra,dec,g0,bp_rp0,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,v_hel,v_hel_error,good_cand_ibata
2918490819492192640,102.11192867938776,-28.825360913560967,18.13537480375953,0.787314905482295,0.4708673424178489,0.14855898956318347,22.892231406195396,0.2179256468085552,-18.324413334970686,0.2598751663240087,,,
2919124245569297024,102.83559672302636,-27.42692321949757,17.801334639319887,0.7738505715297346,0.33201460069545785,0.13158336733208775,23.94106792890723,0.1798752894643945,-19.71537122328272,0.2328504930459321,,,
5608174609273413760,102.8667182938818,-30.53038311145241,18.06629448871251,0.8266961841611703,0.3452915308736321,0.17351893608329216,23.66305039665778,0.2414838233247267,-18.632503067296906,0.2970494521841151,,,
5604079723029302784,105.6522944169562,-32.17958550053105,17.858506719260664,0.7158249208615906,0.2733983183102802,0.15667813048618162,23.11865870888637,0.2413175290256703,-16.247075537733878,0.23059970053073656,,,
5604401257167040896,106.90451055061727,-31.395662574090586,17.774907744574833,0.7602213548027923,0.18168508694933208,0.13206307079512108,21.765964089507985,0.2068163974876349,-16.283471694550858,0.2421475020229516,,,
5604387551929978624,107.43121894073894,-31.482458909723672,17.39119940954886,0.6738173160305048,0.12155634723899493,0.1263716818225357,21.31275958943775,0.17647945197430318,-15.799914854556127,0.20194419592754626,,,
5604343571464616704,107.95356518795737,-31.649148932374292,17.562826773448393,0.737291069873625,0.4616290187294113,0.1250211882233296,21.695858379603,0.18776697220435268,-16.437393576960044,0.1999262679620988,,,
5605860210317910656,108.2240335163612,-31.26273144304372,17.737106561893214,0.7029724132769819,0.10265659004641656,0.11408324291597947,21.36118233423381,0.17789281642354698,-16.183006556497613,0.20970596284862889,,,
5605084367423717376,108.76988429526837,-31.587432964676786,18.794846754206787,0.9920264251138128,0.4580441911764938,0.24614415382872784,21.8588708838285,0.3904255813646951,-16.40793933735349,0.4564216514352343,,,
5605025887150553344,109.00926778732664,-31.72016818088475,17.125762502152085,0.6514078091004845,0.2346729817000672,0.10970075548029977,21.437094021694442,0.15541287082856567,-15.740706082606607,0.17222040613452902,,,
5589509098021448064,109.83191767453,-36.03308390941857,16.191982277162573,0.6160223275023208,0.5183433496296558,0.0596551075473143,20.572468602654304,0.10038020367307947,-15.535587701908398,0.11679642623143435,,,
5589878873226333696,110.64099077946695,-35.4892365435984,18.01205771804519,0.6850391942753661,0.3679489993385332,0.1759265403623893,19.806090792745657,0.3217660104836218,-13.928363183156009,0.2943941322295741,,,
5591611570415845248,111.67501684574344,-34.060714513002125,17.479766050385912,0.7513342346461679,0.6676697105925167,0.17238806162313028,21.796544026357985,0.23647301907050602,-13.5884166447346,0.24109624405733426,,,
5591541987641617664,112.02506821776976,-34.36840911174718,18.74008712761652,0.8740870048768966,0.7186077044768187,0.35492737768450217,20.84681045469216,0.5567122495113673,-16.000160234536292,0.710525473019193,,,
5587915935733272320,113.63423659812513,-36.540004689288224,18.54221206461353,0.8949176453730818,-0.302260436485505,0.4514538808475147,20.69220170548521,0.6481748296082599,-14.23041302585604,0.6823792534355465,,,
5591412180853425920,113.70597001166858,-34.09784053447772,16.83835192613499,0.6804364053790573,0.2053128030160704,0.15297719306714574,20.83135839315229,0.260201727845629,-14.818952400002155,0.2436535399716785,,,
5410874463214513408,143.38203649573288,-46.62596438724643,16.647510942275645,0.6452930265081205,0.21399830648059692,0.19364992274381526,10.584915709421251,0.3044949361473395,-2.145542312500584,0.3040034955110785,,,
5412717553938252544,144.65151809049428,-44.1282434583583,17.507802424637102,0.5042472338156644,0.13846200676508225,0.22390964980124264,11.289436235127551,0.34904042125388696,-4.457687343906559,0.3675703261874824,,,
