SourceId,ra,dec,G
   5413910111739132160, 154.95379, -46.19995,  19.311
   5413891866717756032, 155.09520, -46.39254,  18.823
   5413914823318831360, 154.78112, -46.06398,  19.876
   5413893692084687104, 155.19704, -46.33538,  19.579
   5413907947075441152, 154.90691, -46.29629,  17.905
   5413895543209790336, 154.89973, -46.36670,  18.431
   5413894856015022720, 155.04584, -46.36545,  19.484
   5413914788959087104, 154.78154, -46.07570,  19.965
   5413908191889862016, 154.86354, -46.28399,  18.792
   5413912619998297216, 154.72337, -46.16703,  17.747
   5413894379279323520, 154.99347, -46.43783,  17.924
   5413907294240314880, 154.88751, -46.36459,  19.282
   5413911421709487360, 154.87070, -46.14527,  18.921
   5413908844724895488, 154.80981, -46.25165,  18.725
   5413908191889865728, 154.85491, -46.27457,  19.815
   5413894860312039168, 155.04728, -46.37297,  19.808
   5413897158117626112, 155.07945, -46.27507,  18.653
   5413909424544356992, 154.81639, -46.20382,  18.305
   5413895268331849088, 154.93850, -46.40004,  19.708
   5413914956460627328, 154.78959, -46.03775,  17.656
   5413900357870310912, 155.23150, -46.22612,  19.821
   5413895577569535872, 154.90186, -46.35972,  19.907
   5413891866721499520, 155.09205, -46.39410,  19.741
   5413909905580681856, 154.92540, -46.21074,  19.048
   5413912207681426560, 154.71881, -46.18567,  18.173
   5413911108171651968, 154.84727, -46.14044,  16.278
   5413913380209754240, 154.70498, -46.14972,  17.879
   5413912104602201472, 154.72509, -46.21046,  19.547
   5413893073609383552, 155.12469, -46.39903,  18.411
   5413893138028075776, 155.17287, -46.39142,  18.921
   5413909424544349952, 154.81111, -46.20729,  19.929
   5413893275467043968, 155.11394, -46.37820,  18.278
   5413908432408011392, 154.82761, -46.30239,  19.737
   5413907676493767424, 154.85299, -46.31352,  19.702
   5413898188909898496, 155.03935, -46.20973,  18.190
   5413908879084624128, 154.77348, -46.25472,  19.558
   5413897055038402944, 155.10773, -46.27965,  19.379
   5413908153233892992, 154.88393, -46.28284,  19.859
   5413915815454080768, 154.71843, -46.03921,  19.705
   5413895543209776768, 154.90917, -46.37903,  18.943
   5413912310760635136, 154.75472, -46.20022,  19.730
   5413912173321681536, 154.70570, -46.20101,  18.464
   5413890427909525760, 155.21317, -46.46768,  14.645
   5413908050154683904, 154.90504, -46.27855,  19.722
   5413911795364550272, 154.73504, -46.24062,  19.650
   5413908153233899136, 154.89301, -46.27886,  18.191
   5413914823323496192, 154.78611, -46.06425,  17.703
   5413896196049360000, 154.96056, -46.30305,  19.463
   5413897604794215680, 155.01240, -46.28322,  17.501
   5413890668427692928, 155.18367, -46.46119,  19.207
   5413904343603392896, 155.01114, -46.17851,  19.609
   5413904751620057472, 155.08709, -46.13357,  18.931
   5413914681584580992, 154.83092, -46.05866,  17.939
   5413911279970350464, 154.91149, -46.13332,  19.973
   5413909321465125632, 154.79453, -46.21373,  19.541
   5413895337051340416, 154.96818, -46.38406,  18.613
   5413909321465118848, 154.79184, -46.21721,  18.622
   5413911761009497088, 154.73268, -46.25281,  19.827
   5413894787295526016, 155.07075, -46.38371,  19.272
   5413893275467035648, 155.10622, -46.38546,  19.892
   5413908398048265856, 154.82193, -46.32077,  19.372
   5413907676493766400, 154.83500, -46.30858,  19.897
   5413895650586007296, 154.94380, -46.35001,  19.973
   5413894924734477568, 155.01996, -46.38594,  19.945
   5413911967163243136, 154.70357, -46.23785,  19.381
   5413890904645010176, 155.08990, -46.48186,  19.280
   5413908943507916928, 154.83790, -46.25967,  19.334
   5413913448929229824, 154.68974, -46.14491,  19.772
   5413896715737957632, 155.05789, -46.30628,  19.205
   5413896848879916288, 155.11545, -46.31440,  17.716
   5413908879088816896, 154.77416, -46.25679,  16.821
   5413891110803442176, 155.07660, -46.47962,  19.240
   5413896848879916160, 155.11370, -46.31411,  17.476
   5413891110803442944, 155.07431, -46.47874,  19.605
   5413909669362823040, 154.97143, -46.22755,  12.808
   5413913582071001472, 154.71086, -46.12247,  19.721
   5413896092965663104, 154.92549, -46.32098,  19.000
   5413909738078156544, 154.94713, -46.22244,  19.980
   5413891454400854656, 155.11149, -46.43883,  18.594
   5413908844729081472, 154.80743, -46.25469,  17.791
   5413908393752007424, 154.82195, -46.31580,  19.391
   5413907672197495296, 154.84956, -46.31985,  19.972
   5413907637837756032, 154.83154, -46.32062,  19.665
   5413910970732636544, 154.82768, -46.17461,  19.435
   5413904274879803008, 155.02541, -46.19273,  19.822
   5413901388663020032, 155.37090, -46.19958,  19.801
   5413913856948924288, 154.67932, -46.10261,  18.879
   5413913719509966848, 154.66032, -46.10830,  18.206
   5413909841161505664, 154.89305, -46.22774,  17.572
   5413890698486604032, 155.17267, -46.44645,  17.668
   5413908840428725632, 154.79793, -46.24668,  18.879
   5413908947808299776, 154.85001, -46.25963,  17.377
   5413897128058429440, 155.07558, -46.29399,  15.074
   5413891935437182080, 155.23171, -46.45137,  18.401
   5413910386617076736, 154.91275, -46.18048,  18.581
   5413902900494486656, 155.14003, -46.26351,  18.361
   5413894100100695168, 155.02334, -46.45825,  17.685
   5413909635003079424, 154.95811, -46.24275,  16.630
   5413897845312446848, 154.99261, -46.24561,  19.184
   5413892248972509184, 155.16930, -46.42545,  19.410
   5413907637837747200, 154.82805, -46.32669,  19.770
   5413916055972298880, 154.73245, -45.99910,  19.930
   5413907603478008448, 154.86188, -46.32699,  18.615
   5413914269265774976, 154.76484, -46.11503,  19.508
   5413911761006479360, 154.74169, -46.25120,  18.007
   5413910871953658496, 154.83337, -46.19227,  16.368
   5413913582071007360, 154.71720, -46.11565,  19.296
   5413902930553721728, 155.14298, -46.24662,  19.766
   5413898944824916608, 155.26045, -46.29843,  19.740
   5413911142531340544, 154.90104, -46.16653,  19.224
   5413897609091155968, 155.00075, -46.27678,  19.785
   5413895062173455744, 155.03217, -46.36365,  19.590
   5413913345851741952, 154.70760, -46.16288,  19.497
   5413905924147978752, 155.17311, -46.08417,  18.690
   5413897295556631680, 155.08598, -46.24558,  19.034
   5413913105331816448, 154.65250, -46.17434,  19.675
   5413910940673137536, 154.81232, -46.17228,  18.329
   5413913547712069760, 154.70496, -46.13590,  19.949
   5413895306989091584, 154.93931, -46.38683,  19.920
   5413914269265773696, 154.76326, -46.11635,  19.688
   5413909733781980928, 154.94047, -46.21519,  19.556
   5413890629767122176, 155.14749, -46.45352,  19.139
   5413908947808297088, 154.83381, -46.26449,  19.246
   5413912933533122816, 154.69963, -46.19912,  19.816
   5413912177618879872, 154.71292, -46.20354,  19.732
   5413895032111312128, 155.01508, -46.36217,  19.964
   5413908943507910784, 154.84368, -46.26279,  18.992
   5413896058605907456, 154.95853, -46.33410,  18.575
   5413909012227416960, 154.82124, -46.24686,  18.203
   5413907637837740672, 154.84334, -46.33198,  19.378
   5413913375918463616, 154.71341, -46.15429,  18.995
   5413912383782141440, 154.78706, -46.19337,  17.889
   5413895852447473664, 154.97208, -46.33625,  19.236
   5413896509579522432, 155.07606, -46.32193,  19.638
   5413910455336571264, 154.95776, -46.16767,  19.222
   5413909080946889856, 154.86385, -46.24830,  19.370
   5413913208411033600, 154.65646, -46.17000,  19.531
   5413914578505286144, 154.84928, -46.10193,  17.787
   5413912757443170432, 154.74250, -46.13583,  19.743
   5413911696587360896, 154.74875, -46.25765,  19.964
   5413907362960802944, 154.88012, -46.35308,  19.956
   5413907435979803008, 154.89799, -46.32953,  17.621
   5413898021408434304, 155.02795, -46.25118,  19.987
